Län;Kommun;Antal;Areal (ha)
Södermanland;Trosa;166;788.6455543586619
Södermanland;Strängnäs;305;1413.3601898740287
Södermanland;Eskilstuna;555;1675.866621957185
Södermanland;Flen;612;2230.009149947966
Södermanland;Gnesta;385;1157.3222537252254
Södermanland;Katrineholm;699;2411.206989678707
Södermanland;Nyköping;999;4493.1787538735825
Södermanland;Oxelösund;7;54.672536231546474
Södermanland;Vingåker;165;459.0295571253355
