faltid;lan;kommun;areal_ha;markslag;inventeringsdatum;fastighet;objektrapport_ui;objektrapport_api;lokal_json
023-CRX;Södermanland;Eskilstuna;1.42;Bete;2003-08-25;Rotarbo3;https://etjanst.sjv.se/tuvaut/?f=&id=023-CRX;https://etjanst.sjv.se/hagenpub/rest/base/object/023-CRX;docs/tuva/sodermanland/objektrapporter/023-CRX.json
024-LCK;Södermanland;Flen;5.5;Bete;2004-07-13;Sparreholm 5;https://etjanst.sjv.se/tuvaut/?f=&id=024-LCK;https://etjanst.sjv.se/hagenpub/rest/base/object/024-LCK;docs/tuva/sodermanland/objektrapporter/024-LCK.json
025-800;Södermanland;Nyköping;6.34;Restaurerbar;2002-06-04;Myra;https://etjanst.sjv.se/tuvaut/?f=&id=025-800;https://etjanst.sjv.se/hagenpub/rest/base/object/025-800;docs/tuva/sodermanland/objektrapporter/025-800.json
025-KWE;Södermanland;Flen;3.51;Bete;2003-10-01;;https://etjanst.sjv.se/tuvaut/?f=&id=025-KWE;https://etjanst.sjv.se/hagenpub/rest/base/object/025-KWE;docs/tuva/sodermanland/objektrapporter/025-KWE.json
029-CEX;Södermanland;Vingåker;6.8;Bete;2003-08-07;;https://etjanst.sjv.se/tuvaut/?f=&id=029-CEX;https://etjanst.sjv.se/hagenpub/rest/base/object/029-CEX;docs/tuva/sodermanland/objektrapporter/029-CEX.json
029-TNG;Södermanland;Strängnäs;2.25;Bete;2002-08-19;Kvicksta5;https://etjanst.sjv.se/tuvaut/?f=&id=029-TNG;https://etjanst.sjv.se/hagenpub/rest/base/object/029-TNG;docs/tuva/sodermanland/objektrapporter/029-TNG.json
02B-YCW;Södermanland;Nyköping;3.69;Bete;2002-08-30;Berg, Björksund;https://etjanst.sjv.se/tuvaut/?f=&id=02B-YCW;https://etjanst.sjv.se/hagenpub/rest/base/object/02B-YCW;docs/tuva/sodermanland/objektrapporter/02B-YCW.json
02D-FKC;Södermanland;Vingåker;0.83;Bete;2003-09-07;;https://etjanst.sjv.se/tuvaut/?f=&id=02D-FKC;https://etjanst.sjv.se/hagenpub/rest/base/object/02D-FKC;docs/tuva/sodermanland/objektrapporter/02D-FKC.json
02F-BUO;Södermanland;Nyköping;3.72;Bete;2004-08-09;Sävö 6;https://etjanst.sjv.se/tuvaut/?f=&id=02F-BUO;https://etjanst.sjv.se/hagenpub/rest/base/object/02F-BUO;docs/tuva/sodermanland/objektrapporter/02F-BUO.json
034-YHG;Södermanland;Eskilstuna;2.28;Bete;2003-08-21;Åstorp2;https://etjanst.sjv.se/tuvaut/?f=&id=034-YHG;https://etjanst.sjv.se/hagenpub/rest/base/object/034-YHG;docs/tuva/sodermanland/objektrapporter/034-YHG.json
036-280;Södermanland;Nyköping;1.24;Bete;2002-07-03;Kungstorp;https://etjanst.sjv.se/tuvaut/?f=&id=036-280;https://etjanst.sjv.se/hagenpub/rest/base/object/036-280;docs/tuva/sodermanland/objektrapporter/036-280.json
036-RQN;Södermanland;Nyköping;4.88;Bete;2003-07-25;Eneby 1;https://etjanst.sjv.se/tuvaut/?f=&id=036-RQN;https://etjanst.sjv.se/hagenpub/rest/base/object/036-RQN;docs/tuva/sodermanland/objektrapporter/036-RQN.json
036-XWT;Södermanland;Flen;4.83;Bete;2004-06-22;Spånga 3;https://etjanst.sjv.se/tuvaut/?f=&id=036-XWT;https://etjanst.sjv.se/hagenpub/rest/base/object/036-XWT;docs/tuva/sodermanland/objektrapporter/036-XWT.json
037-SDK;Södermanland;Katrineholm;4.06;Ej aktuell;2003-05-20;Lundsjö 1;https://etjanst.sjv.se/tuvaut/?f=&id=037-SDK;https://etjanst.sjv.se/hagenpub/rest/base/object/037-SDK;docs/tuva/sodermanland/objektrapporter/037-SDK.json
03B-ZSS;Södermanland;Vingåker;6.67;Bete;2003-09-07;;https://etjanst.sjv.se/tuvaut/?f=&id=03B-ZSS;https://etjanst.sjv.se/hagenpub/rest/base/object/03B-ZSS;docs/tuva/sodermanland/objektrapporter/03B-ZSS.json
03D-AFD;Södermanland;Katrineholm;2.36;Äng;2004-05-11;östra vegred 1;https://etjanst.sjv.se/tuvaut/?f=&id=03D-AFD;https://etjanst.sjv.se/hagenpub/rest/base/object/03D-AFD;docs/tuva/sodermanland/objektrapporter/03D-AFD.json
03E-NEM;Södermanland;Katrineholm;4.13;Bete;2003-07-09;Nackhäll;https://etjanst.sjv.se/tuvaut/?f=&id=03E-NEM;https://etjanst.sjv.se/hagenpub/rest/base/object/03E-NEM;docs/tuva/sodermanland/objektrapporter/03E-NEM.json
03F-XEK;Södermanland;Nyköping;1.88;Ej aktuell;2003-05-21;Skillra 1;https://etjanst.sjv.se/tuvaut/?f=&id=03F-XEK;https://etjanst.sjv.se/hagenpub/rest/base/object/03F-XEK;docs/tuva/sodermanland/objektrapporter/03F-XEK.json
040-ZSG;Södermanland;Nyköping;2.97;Restaurerbar;2004-09-28;Hartsö 10;https://etjanst.sjv.se/tuvaut/?f=&id=040-ZSG;https://etjanst.sjv.se/hagenpub/rest/base/object/040-ZSG;docs/tuva/sodermanland/objektrapporter/040-ZSG.json
041-000;Södermanland;Nyköping;2.19;Restaurerbar;2002-07-03;;https://etjanst.sjv.se/tuvaut/?f=&id=041-000;https://etjanst.sjv.se/hagenpub/rest/base/object/041-000;docs/tuva/sodermanland/objektrapporter/041-000.json
041-QRB;Södermanland;Vingåker;2.72;Bete;2003-09-03;;https://etjanst.sjv.se/tuvaut/?f=&id=041-QRB;https://etjanst.sjv.se/hagenpub/rest/base/object/041-QRB;docs/tuva/sodermanland/objektrapporter/041-QRB.json
042-DAD;Södermanland;Katrineholm;1.34;Bete;2004-06-02;knutsta 2;https://etjanst.sjv.se/tuvaut/?f=&id=042-DAD;https://etjanst.sjv.se/hagenpub/rest/base/object/042-DAD;docs/tuva/sodermanland/objektrapporter/042-DAD.json
045-FBW;Södermanland;Katrineholm;1.58;Bete;2002-08-06;Ramningstorp 2;https://etjanst.sjv.se/tuvaut/?f=&id=045-FBW;https://etjanst.sjv.se/hagenpub/rest/base/object/045-FBW;docs/tuva/sodermanland/objektrapporter/045-FBW.json
045-FMR;Södermanland;Trosa;4.6;Bete;2004-05-24;Sandbrink 1, Norrgården;https://etjanst.sjv.se/tuvaut/?f=&id=045-FMR;https://etjanst.sjv.se/hagenpub/rest/base/object/045-FMR;docs/tuva/sodermanland/objektrapporter/045-FMR.json
045-IGA;Södermanland;Katrineholm;2.77;Bete;2002-08-13;;https://etjanst.sjv.se/tuvaut/?f=&id=045-IGA;https://etjanst.sjv.se/hagenpub/rest/base/object/045-IGA;docs/tuva/sodermanland/objektrapporter/045-IGA.json
046-980;Södermanland;Gnesta;3.91;Restaurerbar;2002-05-13;Solberga;https://etjanst.sjv.se/tuvaut/?f=&id=046-980;https://etjanst.sjv.se/hagenpub/rest/base/object/046-980;docs/tuva/sodermanland/objektrapporter/046-980.json
046-RPJ;Södermanland;Flen;4.7;Bete;2003-09-25;;https://etjanst.sjv.se/tuvaut/?f=&id=046-RPJ;https://etjanst.sjv.se/hagenpub/rest/base/object/046-RPJ;docs/tuva/sodermanland/objektrapporter/046-RPJ.json
046-UCM;Södermanland;Katrineholm;1.39;Bete;2004-08-03;udden;https://etjanst.sjv.se/tuvaut/?f=&id=046-UCM;https://etjanst.sjv.se/hagenpub/rest/base/object/046-UCM;docs/tuva/sodermanland/objektrapporter/046-UCM.json
04A-MRT;Södermanland;Trosa;2.33;Bete;2004-05-11;Kungsbol 1;https://etjanst.sjv.se/tuvaut/?f=&id=04A-MRT;https://etjanst.sjv.se/hagenpub/rest/base/object/04A-MRT;docs/tuva/sodermanland/objektrapporter/04A-MRT.json
04B-C80;Södermanland;Strängnäs;44.63;Bete;2002-06-17;Gesta1;https://etjanst.sjv.se/tuvaut/?f=&id=04B-C80;https://etjanst.sjv.se/hagenpub/rest/base/object/04B-C80;docs/tuva/sodermanland/objektrapporter/04B-C80.json
04B-MWG;Södermanland;Trosa;25.91;Restaurerbar;2002-07-17;Askö;https://etjanst.sjv.se/tuvaut/?f=&id=04B-MWG;https://etjanst.sjv.se/hagenpub/rest/base/object/04B-MWG;docs/tuva/sodermanland/objektrapporter/04B-MWG.json
04C-RLE;Södermanland;Vingåker;0.43;Bete;2003-09-15;;https://etjanst.sjv.se/tuvaut/?f=&id=04C-RLE;https://etjanst.sjv.se/hagenpub/rest/base/object/04C-RLE;docs/tuva/sodermanland/objektrapporter/04C-RLE.json
04D-OJZ;Södermanland;Nyköping;19.72;Bete;2002-07-09;Nässelkärr;https://etjanst.sjv.se/tuvaut/?f=&id=04D-OJZ;https://etjanst.sjv.se/hagenpub/rest/base/object/04D-OJZ;docs/tuva/sodermanland/objektrapporter/04D-OJZ.json
04F-UON;Södermanland;Nyköping;6.37;Restaurerbar;2002-07-15;Jönåkers golfbana;https://etjanst.sjv.se/tuvaut/?f=&id=04F-UON;https://etjanst.sjv.se/hagenpub/rest/base/object/04F-UON;docs/tuva/sodermanland/objektrapporter/04F-UON.json
051-280;Södermanland;Gnesta;5.42;Bete;2002-06-27;Marö;https://etjanst.sjv.se/tuvaut/?f=&id=051-280;https://etjanst.sjv.se/hagenpub/rest/base/object/051-280;docs/tuva/sodermanland/objektrapporter/051-280.json
053-ZSS;Södermanland;Nyköping;4.54;Bete;2002-07-13;Backgården;https://etjanst.sjv.se/tuvaut/?f=&id=053-ZSS;https://etjanst.sjv.se/hagenpub/rest/base/object/053-ZSS;docs/tuva/sodermanland/objektrapporter/053-ZSS.json
055-AKH;Södermanland;Flen;0.49;Bete;2004-05-26;fågelsund 1;https://etjanst.sjv.se/tuvaut/?f=&id=055-AKH;https://etjanst.sjv.se/hagenpub/rest/base/object/055-AKH;docs/tuva/sodermanland/objektrapporter/055-AKH.json
056-PWH;Södermanland;Strängnäs;3.72;Bete;2003-06-11;Tobo2;https://etjanst.sjv.se/tuvaut/?f=&id=056-PWH;https://etjanst.sjv.se/hagenpub/rest/base/object/056-PWH;docs/tuva/sodermanland/objektrapporter/056-PWH.json
059-ANT;Södermanland;Gnesta;1.3;Bete;2004-06-17;Lilla Brandsbol 3;https://etjanst.sjv.se/tuvaut/?f=&id=059-ANT;https://etjanst.sjv.se/hagenpub/rest/base/object/059-ANT;docs/tuva/sodermanland/objektrapporter/059-ANT.json
059-UKP;Södermanland;Gnesta;0.99;Bete;2003-08-12;Krampan 2;https://etjanst.sjv.se/tuvaut/?f=&id=059-UKP;https://etjanst.sjv.se/hagenpub/rest/base/object/059-UKP;docs/tuva/sodermanland/objektrapporter/059-UKP.json
05A-PMBD;Södermanland;Nyköping;28.57;Bete;2002-08-30;Berg, Björksund;https://etjanst.sjv.se/tuvaut/?f=&id=05A-PMBD;https://etjanst.sjv.se/hagenpub/rest/base/object/05A-PMBD;docs/tuva/sodermanland/objektrapporter/05A-PMBD.json
05B-GFQ;Södermanland;Katrineholm;1.25;Bete;2003-07-01;Hälltäppan 2;https://etjanst.sjv.se/tuvaut/?f=&id=05B-GFQ;https://etjanst.sjv.se/hagenpub/rest/base/object/05B-GFQ;docs/tuva/sodermanland/objektrapporter/05B-GFQ.json
05C-D80;Södermanland;Katrineholm;2.79;Bete;2002-07-01;Älgsjötorp 2;https://etjanst.sjv.se/tuvaut/?f=&id=05C-D80;https://etjanst.sjv.se/hagenpub/rest/base/object/05C-D80;docs/tuva/sodermanland/objektrapporter/05C-D80.json
060-IGM;Södermanland;Trosa;1.85;Restaurerbar;2002-07-17;Askö;https://etjanst.sjv.se/tuvaut/?f=&id=060-IGM;https://etjanst.sjv.se/hagenpub/rest/base/object/060-IGM;docs/tuva/sodermanland/objektrapporter/060-IGM.json
060-ZUP;Södermanland;Gnesta;3.2;Bete;2003-09-24;Eknäs 5;https://etjanst.sjv.se/tuvaut/?f=&id=060-ZUP;https://etjanst.sjv.se/hagenpub/rest/base/object/060-ZUP;docs/tuva/sodermanland/objektrapporter/060-ZUP.json
065-GPO;Södermanland;Gnesta;2.1;Bete;2003-09-10;Ullsta 1;https://etjanst.sjv.se/tuvaut/?f=&id=065-GPO;https://etjanst.sjv.se/hagenpub/rest/base/object/065-GPO;docs/tuva/sodermanland/objektrapporter/065-GPO.json
069-BYT;Södermanland;Eskilstuna;0.62;Bete;2003-08-13;Svenstorp;https://etjanst.sjv.se/tuvaut/?f=&id=069-BYT;https://etjanst.sjv.se/hagenpub/rest/base/object/069-BYT;docs/tuva/sodermanland/objektrapporter/069-BYT.json
069-YAN;Södermanland;Flen;0.67;Bete;2004-08-24;bronäs 2;https://etjanst.sjv.se/tuvaut/?f=&id=069-YAN;https://etjanst.sjv.se/hagenpub/rest/base/object/069-YAN;docs/tuva/sodermanland/objektrapporter/069-YAN.json
06A-HYT;Södermanland;Flen;2.04;Bete;2003-07-24;Lilla Tveta 2;https://etjanst.sjv.se/tuvaut/?f=&id=06A-HYT;https://etjanst.sjv.se/hagenpub/rest/base/object/06A-HYT;docs/tuva/sodermanland/objektrapporter/06A-HYT.json
06A-OQS;Södermanland;Gnesta;8.57;Bete;2004-06-14;Kvegerö 2 ;https://etjanst.sjv.se/tuvaut/?f=&id=06A-OQS;https://etjanst.sjv.se/hagenpub/rest/base/object/06A-OQS;docs/tuva/sodermanland/objektrapporter/06A-OQS.json
06A-XWT;Södermanland;Flen;2.51;Bete;2003-08-29;Lundby 2;https://etjanst.sjv.se/tuvaut/?f=&id=06A-XWT;https://etjanst.sjv.se/hagenpub/rest/base/object/06A-XWT;docs/tuva/sodermanland/objektrapporter/06A-XWT.json
06D-MLI;Södermanland;Gnesta;1.99;Bete;2003-08-25;Jakobsberg;https://etjanst.sjv.se/tuvaut/?f=&id=06D-MLI;https://etjanst.sjv.se/hagenpub/rest/base/object/06D-MLI;docs/tuva/sodermanland/objektrapporter/06D-MLI.json
071-TRC;Södermanland;Katrineholm;4.19;Äng;2004-05-11;dagöholm 4;https://etjanst.sjv.se/tuvaut/?f=&id=071-TRC;https://etjanst.sjv.se/hagenpub/rest/base/object/071-TRC;docs/tuva/sodermanland/objektrapporter/071-TRC.json
072-BUK;Södermanland;Strängnäs;15.28;Bete;2002-08-14;Ulriksberg1;https://etjanst.sjv.se/tuvaut/?f=&id=072-BUK;https://etjanst.sjv.se/hagenpub/rest/base/object/072-BUK;docs/tuva/sodermanland/objektrapporter/072-BUK.json
072-YHI;Södermanland;Trosa;4.4;Bete;2004-05-27;Hillesta 1;https://etjanst.sjv.se/tuvaut/?f=&id=072-YHI;https://etjanst.sjv.se/hagenpub/rest/base/object/072-YHI;docs/tuva/sodermanland/objektrapporter/072-YHI.json
075-GTH;Södermanland;Strängnäs;6.33;Bete;2003-07-09;Björsund;https://etjanst.sjv.se/tuvaut/?f=&id=075-GTH;https://etjanst.sjv.se/hagenpub/rest/base/object/075-GTH;docs/tuva/sodermanland/objektrapporter/075-GTH.json
075-KFV;Södermanland;Gnesta;2.75;Bete;2004-09-17;södertuna extra 1;https://etjanst.sjv.se/tuvaut/?f=&id=075-KFV;https://etjanst.sjv.se/hagenpub/rest/base/object/075-KFV;docs/tuva/sodermanland/objektrapporter/075-KFV.json
076-LNO;Södermanland;Katrineholm;2.3;Bete;2003-05-21;Ökna 1;https://etjanst.sjv.se/tuvaut/?f=&id=076-LNO;https://etjanst.sjv.se/hagenpub/rest/base/object/076-LNO;docs/tuva/sodermanland/objektrapporter/076-LNO.json
077-LJP;Södermanland;Flen;5.52;Bete;2004-09-17;ällmora 2;https://etjanst.sjv.se/tuvaut/?f=&id=077-LJP;https://etjanst.sjv.se/hagenpub/rest/base/object/077-LJP;docs/tuva/sodermanland/objektrapporter/077-LJP.json
077-SQK;Södermanland;Flen;2.12;Bete;2003-08-15;Mora gård 3;https://etjanst.sjv.se/tuvaut/?f=&id=077-SQK;https://etjanst.sjv.se/hagenpub/rest/base/object/077-SQK;docs/tuva/sodermanland/objektrapporter/077-SQK.json
078-NKN;Södermanland;Nyköping;3.07;Restaurerbar;2003-05-20;Fjäll/Siggenäs;https://etjanst.sjv.se/tuvaut/?f=&id=078-NKN;https://etjanst.sjv.se/hagenpub/rest/base/object/078-NKN;docs/tuva/sodermanland/objektrapporter/078-NKN.json
079-900;Södermanland;Eskilstuna;7.18;Bete;2002-05-17;Hedtorp2;https://etjanst.sjv.se/tuvaut/?f=&id=079-900;https://etjanst.sjv.se/hagenpub/rest/base/object/079-900;docs/tuva/sodermanland/objektrapporter/079-900.json
079-OAR;Södermanland;Eskilstuna;2.29;Bete;2003-09-02;Magda5;https://etjanst.sjv.se/tuvaut/?f=&id=079-OAR;https://etjanst.sjv.se/hagenpub/rest/base/object/079-OAR;docs/tuva/sodermanland/objektrapporter/079-OAR.json
07A-YSI;Södermanland;Flen;0.56;Bete;2004-08-04;Brolöten 1;https://etjanst.sjv.se/tuvaut/?f=&id=07A-YSI;https://etjanst.sjv.se/hagenpub/rest/base/object/07A-YSI;docs/tuva/sodermanland/objektrapporter/07A-YSI.json
07D-RWI;Södermanland;Nyköping;2.76;Bete;2019-05-16;Horn 6;https://etjanst.sjv.se/tuvaut/?f=&id=07D-RWI;https://etjanst.sjv.se/hagenpub/rest/base/object/07D-RWI;docs/tuva/sodermanland/objektrapporter/07D-RWI.json
081-MND;Södermanland;Nyköping;1.64;Äng;2002-07-20;Sjösa;https://etjanst.sjv.se/tuvaut/?f=&id=081-MND;https://etjanst.sjv.se/hagenpub/rest/base/object/081-MND;docs/tuva/sodermanland/objektrapporter/081-MND.json
082-D00;Södermanland;Nyköping;5.64;Restaurerbar;2002-07-04;Måstena;https://etjanst.sjv.se/tuvaut/?f=&id=082-D00;https://etjanst.sjv.se/hagenpub/rest/base/object/082-D00;docs/tuva/sodermanland/objektrapporter/082-D00.json
084-KMZ;Södermanland;Gnesta;0.72;Bete;2004-08-24;?;https://etjanst.sjv.se/tuvaut/?f=&id=084-KMZ;https://etjanst.sjv.se/hagenpub/rest/base/object/084-KMZ;docs/tuva/sodermanland/objektrapporter/084-KMZ.json
085-NKT;Södermanland;Eskilstuna;0.33;Bete;2003-08-11;Skogstorp-Stora Sundby3;https://etjanst.sjv.se/tuvaut/?f=&id=085-NKT;https://etjanst.sjv.se/hagenpub/rest/base/object/085-NKT;docs/tuva/sodermanland/objektrapporter/085-NKT.json
087-OEN;Södermanland;Flen;6.99;Bete;2004-07-26;Gäversnäs 2;https://etjanst.sjv.se/tuvaut/?f=&id=087-OEN;https://etjanst.sjv.se/hagenpub/rest/base/object/087-OEN;docs/tuva/sodermanland/objektrapporter/087-OEN.json
087-UYT;Södermanland;Katrineholm;0.9;Bete;2004-07-19;näsby 1;https://etjanst.sjv.se/tuvaut/?f=&id=087-UYT;https://etjanst.sjv.se/hagenpub/rest/base/object/087-UYT;docs/tuva/sodermanland/objektrapporter/087-UYT.json
089-YAH;Södermanland;Eskilstuna;0.74;Bete;2003-08-26;Näsna2;https://etjanst.sjv.se/tuvaut/?f=&id=089-YAH;https://etjanst.sjv.se/hagenpub/rest/base/object/089-YAH;docs/tuva/sodermanland/objektrapporter/089-YAH.json
08A-980;Södermanland;Katrineholm;4.54;Bete;2002-07-04;Kolberga 3;https://etjanst.sjv.se/tuvaut/?f=&id=08A-980;https://etjanst.sjv.se/hagenpub/rest/base/object/08A-980;docs/tuva/sodermanland/objektrapporter/08A-980.json
08C-E00;Södermanland;Katrineholm;3.02;Bete;2002-05-28;Västra kulltorp;https://etjanst.sjv.se/tuvaut/?f=&id=08C-E00;https://etjanst.sjv.se/hagenpub/rest/base/object/08C-E00;docs/tuva/sodermanland/objektrapporter/08C-E00.json
08E-HGO;Södermanland;Gnesta;1.72;Bete;2004-06-28;Rösund 1;https://etjanst.sjv.se/tuvaut/?f=&id=08E-HGO;https://etjanst.sjv.se/hagenpub/rest/base/object/08E-HGO;docs/tuva/sodermanland/objektrapporter/08E-HGO.json
090-KKM;Södermanland;Gnesta;3.54;Bete;2003-08-12;Krampan 3;https://etjanst.sjv.se/tuvaut/?f=&id=090-KKM;https://etjanst.sjv.se/hagenpub/rest/base/object/090-KKM;docs/tuva/sodermanland/objektrapporter/090-KKM.json
093-LVS;Södermanland;Flen;1.96;Bete;2004-07-28;Hornsund 1;https://etjanst.sjv.se/tuvaut/?f=&id=093-LVS;https://etjanst.sjv.se/hagenpub/rest/base/object/093-LVS;docs/tuva/sodermanland/objektrapporter/093-LVS.json
093-TJS;Södermanland;Gnesta;0.28;Ej aktuell;2003-09-24;Bresätter 1;https://etjanst.sjv.se/tuvaut/?f=&id=093-TJS;https://etjanst.sjv.se/hagenpub/rest/base/object/093-TJS;docs/tuva/sodermanland/objektrapporter/093-TJS.json
094-EPV;Södermanland;Nyköping;4.4;Bete;2004-05-12;valva 3;https://etjanst.sjv.se/tuvaut/?f=&id=094-EPV;https://etjanst.sjv.se/hagenpub/rest/base/object/094-EPV;docs/tuva/sodermanland/objektrapporter/094-EPV.json
095-UTQ;Södermanland;Eskilstuna;3.47;Bete;2003-07-29;Tandla6;https://etjanst.sjv.se/tuvaut/?f=&id=095-UTQ;https://etjanst.sjv.se/hagenpub/rest/base/object/095-UTQ;docs/tuva/sodermanland/objektrapporter/095-UTQ.json
096-HCY;Södermanland;Eskilstuna;4.46;Bete;2002-09-05;Prostökna2;https://etjanst.sjv.se/tuvaut/?f=&id=096-HCY;https://etjanst.sjv.se/hagenpub/rest/base/object/096-HCY;docs/tuva/sodermanland/objektrapporter/096-HCY.json
