faltid;lan;kommun;areal_ha;markslag;inventeringsdatum;fastighet;objektrapport_ui;objektrapport_api;lokal_json
289-WRH;Södermanland;Katrineholm;9.43;Bete;2004-07-13;v grysta;https://etjanst.sjv.se/tuvaut/?f=&id=289-WRH;https://etjanst.sjv.se/hagenpub/rest/base/object/289-WRH;docs/tuva/sodermanland/objektrapporter/289-WRH.json
28B-E80;Södermanland;Nyköping;4.01;Restaurerbar;2002-04-29;;https://etjanst.sjv.se/tuvaut/?f=&id=28B-E80;https://etjanst.sjv.se/hagenpub/rest/base/object/28B-E80;docs/tuva/sodermanland/objektrapporter/28B-E80.json
28B-NDI;Södermanland;Flen;2.17;Bete;2004-07-19;Johannesnäs 1;https://etjanst.sjv.se/tuvaut/?f=&id=28B-NDI;https://etjanst.sjv.se/hagenpub/rest/base/object/28B-NDI;docs/tuva/sodermanland/objektrapporter/28B-NDI.json
28B-RIQ;Södermanland;Katrineholm;6.08;Bete;2004-07-27;brynstorp 5;https://etjanst.sjv.se/tuvaut/?f=&id=28B-RIQ;https://etjanst.sjv.se/hagenpub/rest/base/object/28B-RIQ;docs/tuva/sodermanland/objektrapporter/28B-RIQ.json
28C-NZC;Södermanland;Nyköping;1.67;Bete;2003-05-19;Råby;https://etjanst.sjv.se/tuvaut/?f=&id=28C-NZC;https://etjanst.sjv.se/hagenpub/rest/base/object/28C-NZC;docs/tuva/sodermanland/objektrapporter/28C-NZC.json
28F-YKS;Södermanland;Trosa;2.8;Bete;2004-05-12;Nyckkelby 1;https://etjanst.sjv.se/tuvaut/?f=&id=28F-YKS;https://etjanst.sjv.se/hagenpub/rest/base/object/28F-YKS;docs/tuva/sodermanland/objektrapporter/28F-YKS.json
290-SQK;Södermanland;Katrineholm;0.85;Bete;2002-08-15;Sörtorp 2;https://etjanst.sjv.se/tuvaut/?f=&id=290-SQK;https://etjanst.sjv.se/hagenpub/rest/base/object/290-SQK;docs/tuva/sodermanland/objektrapporter/290-SQK.json
291-JVY;Södermanland;Flen;8.32;Bete;2003-09-03;;https://etjanst.sjv.se/tuvaut/?f=&id=291-JVY;https://etjanst.sjv.se/hagenpub/rest/base/object/291-JVY;docs/tuva/sodermanland/objektrapporter/291-JVY.json
291-KEX;Södermanland;Katrineholm;1.14;Bete;2002-08-13;Ödesdal 2;https://etjanst.sjv.se/tuvaut/?f=&id=291-KEX;https://etjanst.sjv.se/hagenpub/rest/base/object/291-KEX;docs/tuva/sodermanland/objektrapporter/291-KEX.json
291-UBV;Södermanland;Katrineholm;6.96;Bete;2003-07-08;Källarboda 2;https://etjanst.sjv.se/tuvaut/?f=&id=291-UBV;https://etjanst.sjv.se/hagenpub/rest/base/object/291-UBV;docs/tuva/sodermanland/objektrapporter/291-UBV.json
293-DIU;Södermanland;Nyköping;5.15;Bete;2002-08-15;Hällsätter;https://etjanst.sjv.se/tuvaut/?f=&id=293-DIU;https://etjanst.sjv.se/hagenpub/rest/base/object/293-DIU;docs/tuva/sodermanland/objektrapporter/293-DIU.json
294-EJV;Södermanland;Gnesta;3.34;Bete;2003-09-10;Bondekeby 1;https://etjanst.sjv.se/tuvaut/?f=&id=294-EJV;https://etjanst.sjv.se/hagenpub/rest/base/object/294-EJV;docs/tuva/sodermanland/objektrapporter/294-EJV.json
294-QAD;Södermanland;Katrineholm;3.59;Bete;2003-07-16;Svartbol;https://etjanst.sjv.se/tuvaut/?f=&id=294-QAD;https://etjanst.sjv.se/hagenpub/rest/base/object/294-QAD;docs/tuva/sodermanland/objektrapporter/294-QAD.json
295-OGX;Södermanland;Strängnäs;6.66;Bete;2002-07-31;Källdalen;https://etjanst.sjv.se/tuvaut/?f=&id=295-OGX;https://etjanst.sjv.se/hagenpub/rest/base/object/295-OGX;docs/tuva/sodermanland/objektrapporter/295-OGX.json
296-BHJ;Södermanland;Vingåker;0.71;Bete;2003-08-11;;https://etjanst.sjv.se/tuvaut/?f=&id=296-BHJ;https://etjanst.sjv.se/hagenpub/rest/base/object/296-BHJ;docs/tuva/sodermanland/objektrapporter/296-BHJ.json
297-ABX;Södermanland;Eskilstuna;3.25;Bete;2003-08-29;Husby2;https://etjanst.sjv.se/tuvaut/?f=&id=297-ABX;https://etjanst.sjv.se/hagenpub/rest/base/object/297-ABX;docs/tuva/sodermanland/objektrapporter/297-ABX.json
297-XUX;Södermanland;Flen;1.61;Bete;2003-09-19;Rökärr 1;https://etjanst.sjv.se/tuvaut/?f=&id=297-XUX;https://etjanst.sjv.se/hagenpub/rest/base/object/297-XUX;docs/tuva/sodermanland/objektrapporter/297-XUX.json
298-A00;Södermanland;Katrineholm;5.19;Bete;2002-06-10;Harpebol;https://etjanst.sjv.se/tuvaut/?f=&id=298-A00;https://etjanst.sjv.se/hagenpub/rest/base/object/298-A00;docs/tuva/sodermanland/objektrapporter/298-A00.json
299-WSW;Södermanland;Flen;3.38;Bete;2004-05-18;viby 4;https://etjanst.sjv.se/tuvaut/?f=&id=299-WSW;https://etjanst.sjv.se/hagenpub/rest/base/object/299-WSW;docs/tuva/sodermanland/objektrapporter/299-WSW.json
29A-HCX;Södermanland;Nyköping;1.85;Bete;2003-05-27;Börsta 4;https://etjanst.sjv.se/tuvaut/?f=&id=29A-HCX;https://etjanst.sjv.se/hagenpub/rest/base/object/29A-HCX;docs/tuva/sodermanland/objektrapporter/29A-HCX.json
29B-580;Södermanland;Nyköping;0.19;Bete;2002-07-03;Hultebo;https://etjanst.sjv.se/tuvaut/?f=&id=29B-580;https://etjanst.sjv.se/hagenpub/rest/base/object/29B-580;docs/tuva/sodermanland/objektrapporter/29B-580.json
29D-180;Södermanland;Katrineholm;0.2;Bete;2002-05-29;Simonsbol 5;https://etjanst.sjv.se/tuvaut/?f=&id=29D-180;https://etjanst.sjv.se/hagenpub/rest/base/object/29D-180;docs/tuva/sodermanland/objektrapporter/29D-180.json
29F-NEM;Södermanland;Katrineholm;1.84;Bete;2004-05-27;älvesta 2;https://etjanst.sjv.se/tuvaut/?f=&id=29F-NEM;https://etjanst.sjv.se/hagenpub/rest/base/object/29F-NEM;docs/tuva/sodermanland/objektrapporter/29F-NEM.json
2A0-SBA;Södermanland;Gnesta;1.17;Bete;2003-08-14;Nystugan;https://etjanst.sjv.se/tuvaut/?f=&id=2A0-SBA;https://etjanst.sjv.se/hagenpub/rest/base/object/2A0-SBA;docs/tuva/sodermanland/objektrapporter/2A0-SBA.json
2A2-FJD;Södermanland;Flen;4.0;Bete;2003-09-23;Röl2;https://etjanst.sjv.se/tuvaut/?f=&id=2A2-FJD;https://etjanst.sjv.se/hagenpub/rest/base/object/2A2-FJD;docs/tuva/sodermanland/objektrapporter/2A2-FJD.json
2A2-SVT;Södermanland;Eskilstuna;0.42;Bete;2003-08-12;Heden1;https://etjanst.sjv.se/tuvaut/?f=&id=2A2-SVT;https://etjanst.sjv.se/hagenpub/rest/base/object/2A2-SVT;docs/tuva/sodermanland/objektrapporter/2A2-SVT.json
2A2-SYA;Södermanland;Flen;2.51;Bete;2004-05-26;sittuna 1;https://etjanst.sjv.se/tuvaut/?f=&id=2A2-SYA;https://etjanst.sjv.se/hagenpub/rest/base/object/2A2-SYA;docs/tuva/sodermanland/objektrapporter/2A2-SYA.json
2A3-TYP;Södermanland;Eskilstuna;0.78;Restaurerbar;2004-08-17;Säby 2;https://etjanst.sjv.se/tuvaut/?f=&id=2A3-TYP;https://etjanst.sjv.se/hagenpub/rest/base/object/2A3-TYP;docs/tuva/sodermanland/objektrapporter/2A3-TYP.json
2A4-BVO;Södermanland;Nyköping;2.14;Bete;2004-05-11;gråsta 2;https://etjanst.sjv.se/tuvaut/?f=&id=2A4-BVO;https://etjanst.sjv.se/hagenpub/rest/base/object/2A4-BVO;docs/tuva/sodermanland/objektrapporter/2A4-BVO.json
2A4-OVP;Södermanland;Katrineholm;2.09;Bete;2004-08-30;hissjö;https://etjanst.sjv.se/tuvaut/?f=&id=2A4-OVP;https://etjanst.sjv.se/hagenpub/rest/base/object/2A4-OVP;docs/tuva/sodermanland/objektrapporter/2A4-OVP.json
2AA-YDU;Södermanland;Nyköping;0.84;Bete;2004-05-06;horsvik 4;https://etjanst.sjv.se/tuvaut/?f=&id=2AA-YDU;https://etjanst.sjv.se/hagenpub/rest/base/object/2AA-YDU;docs/tuva/sodermanland/objektrapporter/2AA-YDU.json
2AB-UFG;Södermanland;Nyköping;0.45;Bete;2003-06-06;Stensund 3;https://etjanst.sjv.se/tuvaut/?f=&id=2AB-UFG;https://etjanst.sjv.se/hagenpub/rest/base/object/2AB-UFG;docs/tuva/sodermanland/objektrapporter/2AB-UFG.json
2AC-980;Södermanland;Strängnäs;2.51;Bete;2002-06-14;Waxäng3;https://etjanst.sjv.se/tuvaut/?f=&id=2AC-980;https://etjanst.sjv.se/hagenpub/rest/base/object/2AC-980;docs/tuva/sodermanland/objektrapporter/2AC-980.json
2AC-IOC;Södermanland;Nyköping;18.54;Bete;2004-06-04;Aspa;https://etjanst.sjv.se/tuvaut/?f=&id=2AC-IOC;https://etjanst.sjv.se/hagenpub/rest/base/object/2AC-IOC;docs/tuva/sodermanland/objektrapporter/2AC-IOC.json
2B0-EJB;Södermanland;Flen;2.0;Bete;2003-10-15;;https://etjanst.sjv.se/tuvaut/?f=&id=2B0-EJB;https://etjanst.sjv.se/hagenpub/rest/base/object/2B0-EJB;docs/tuva/sodermanland/objektrapporter/2B0-EJB.json
2B2-CYT;Södermanland;Gnesta;3.81;Bete;2003-09-26;Björnlundagården 2;https://etjanst.sjv.se/tuvaut/?f=&id=2B2-CYT;https://etjanst.sjv.se/hagenpub/rest/base/object/2B2-CYT;docs/tuva/sodermanland/objektrapporter/2B2-CYT.json
2B3-APE;Södermanland;Gnesta;0.66;Bete;2003-09-12;Klövet 1;https://etjanst.sjv.se/tuvaut/?f=&id=2B3-APE;https://etjanst.sjv.se/hagenpub/rest/base/object/2B3-APE;docs/tuva/sodermanland/objektrapporter/2B3-APE.json
2B3-IAR;Södermanland;Katrineholm;0.32;Bete;2004-05-17;östra vegred 4;https://etjanst.sjv.se/tuvaut/?f=&id=2B3-IAR;https://etjanst.sjv.se/hagenpub/rest/base/object/2B3-IAR;docs/tuva/sodermanland/objektrapporter/2B3-IAR.json
2B6-JDI;Södermanland;Eskilstuna;1.38;Bete;2004-07-15;svalbo;https://etjanst.sjv.se/tuvaut/?f=&id=2B6-JDI;https://etjanst.sjv.se/hagenpub/rest/base/object/2B6-JDI;docs/tuva/sodermanland/objektrapporter/2B6-JDI.json
2B7-VLQ;Södermanland;Gnesta;1.46;Bete;2004-06-14;Harlinge 4;https://etjanst.sjv.se/tuvaut/?f=&id=2B7-VLQ;https://etjanst.sjv.se/hagenpub/rest/base/object/2B7-VLQ;docs/tuva/sodermanland/objektrapporter/2B7-VLQ.json
2B7-XEX;Södermanland;Flen;5.33;Bete;2004-08-02;Fållökna/Stenstorp 3;https://etjanst.sjv.se/tuvaut/?f=&id=2B7-XEX;https://etjanst.sjv.se/hagenpub/rest/base/object/2B7-XEX;docs/tuva/sodermanland/objektrapporter/2B7-XEX.json
2BA-680;Södermanland;Strängnäs;2.33;Bete;2002-06-26;Söderårby;https://etjanst.sjv.se/tuvaut/?f=&id=2BA-680;https://etjanst.sjv.se/hagenpub/rest/base/object/2BA-680;docs/tuva/sodermanland/objektrapporter/2BA-680.json
2BB-HMJ;Södermanland;Nyköping;3.52;Bete;2004-08-19;Ingelsta 1;https://etjanst.sjv.se/tuvaut/?f=&id=2BB-HMJ;https://etjanst.sjv.se/hagenpub/rest/base/object/2BB-HMJ;docs/tuva/sodermanland/objektrapporter/2BB-HMJ.json
2BC-BKH;Södermanland;Katrineholm;5.8;Bete;2003-07-03;Hagbyberga 1;https://etjanst.sjv.se/tuvaut/?f=&id=2BC-BKH;https://etjanst.sjv.se/hagenpub/rest/base/object/2BC-BKH;docs/tuva/sodermanland/objektrapporter/2BC-BKH.json
2BD-KVB;Södermanland;Trosa;4.45;Bete;2004-05-07;Litselby 2;https://etjanst.sjv.se/tuvaut/?f=&id=2BD-KVB;https://etjanst.sjv.se/hagenpub/rest/base/object/2BD-KVB;docs/tuva/sodermanland/objektrapporter/2BD-KVB.json
2BE-ZLT;Södermanland;Katrineholm;3.65;Bete;2004-06-03;fors, floda;https://etjanst.sjv.se/tuvaut/?f=&id=2BE-ZLT;https://etjanst.sjv.se/hagenpub/rest/base/object/2BE-ZLT;docs/tuva/sodermanland/objektrapporter/2BE-ZLT.json
2C1-VWV;Södermanland;Nyköping;5.63;Bete;2004-06-03;?;https://etjanst.sjv.se/tuvaut/?f=&id=2C1-VWV;https://etjanst.sjv.se/hagenpub/rest/base/object/2C1-VWV;docs/tuva/sodermanland/objektrapporter/2C1-VWV.json
2C3-ZWX;Södermanland;Flen;1.77;Bete;2003-07-23;Holmen 1;https://etjanst.sjv.se/tuvaut/?f=&id=2C3-ZWX;https://etjanst.sjv.se/hagenpub/rest/base/object/2C3-ZWX;docs/tuva/sodermanland/objektrapporter/2C3-ZWX.json
2C5-KVH;Södermanland;Flen;2.59;Bete;2004-08-03;bronäs;https://etjanst.sjv.se/tuvaut/?f=&id=2C5-KVH;https://etjanst.sjv.se/hagenpub/rest/base/object/2C5-KVH;docs/tuva/sodermanland/objektrapporter/2C5-KVH.json
2C7-AUN;Södermanland;Nyköping;2.81;Bete;2004-06-08;Spelvik 1;https://etjanst.sjv.se/tuvaut/?f=&id=2C7-AUN;https://etjanst.sjv.se/hagenpub/rest/base/object/2C7-AUN;docs/tuva/sodermanland/objektrapporter/2C7-AUN.json
2C8-PUM;Södermanland;Vingåker;5.92;Bete;2003-09-15;;https://etjanst.sjv.se/tuvaut/?f=&id=2C8-PUM;https://etjanst.sjv.se/hagenpub/rest/base/object/2C8-PUM;docs/tuva/sodermanland/objektrapporter/2C8-PUM.json
2CB-PTY;Södermanland;Flen;5.75;Bete;2004-07-07;Valsund 2;https://etjanst.sjv.se/tuvaut/?f=&id=2CB-PTY;https://etjanst.sjv.se/hagenpub/rest/base/object/2CB-PTY;docs/tuva/sodermanland/objektrapporter/2CB-PTY.json
2CC-SRU;Södermanland;Eskilstuna;3.04;Bete;2003-08-18;Fagersnäs2;https://etjanst.sjv.se/tuvaut/?f=&id=2CC-SRU;https://etjanst.sjv.se/hagenpub/rest/base/object/2CC-SRU;docs/tuva/sodermanland/objektrapporter/2CC-SRU.json
2CC-TZZ;Södermanland;Strängnäs;5.35;Bete;2002-07-15;Björnvad2;https://etjanst.sjv.se/tuvaut/?f=&id=2CC-TZZ;https://etjanst.sjv.se/hagenpub/rest/base/object/2CC-TZZ;docs/tuva/sodermanland/objektrapporter/2CC-TZZ.json
2CD-GLD;Södermanland;Katrineholm;6.13;Restaurerbar;2003-06-12;Gryt 3;https://etjanst.sjv.se/tuvaut/?f=&id=2CD-GLD;https://etjanst.sjv.se/hagenpub/rest/base/object/2CD-GLD;docs/tuva/sodermanland/objektrapporter/2CD-GLD.json
2CE-MBC;Södermanland;Nyköping;4.96;Bete;2002-08-15;Hällsätter;https://etjanst.sjv.se/tuvaut/?f=&id=2CE-MBC;https://etjanst.sjv.se/hagenpub/rest/base/object/2CE-MBC;docs/tuva/sodermanland/objektrapporter/2CE-MBC.json
2CF-C80;Södermanland;Strängnäs;1.61;Bete;2002-06-13;Sundby1;https://etjanst.sjv.se/tuvaut/?f=&id=2CF-C80;https://etjanst.sjv.se/hagenpub/rest/base/object/2CF-C80;docs/tuva/sodermanland/objektrapporter/2CF-C80.json
2D0-SKH;Södermanland;Flen;0.25;Bete;2003-09-15;Kvarnängen2;https://etjanst.sjv.se/tuvaut/?f=&id=2D0-SKH;https://etjanst.sjv.se/hagenpub/rest/base/object/2D0-SKH;docs/tuva/sodermanland/objektrapporter/2D0-SKH.json
2D2-SPS;Södermanland;Eskilstuna;1.55;Bete;2003-05-20;Stora Grindhammar1;https://etjanst.sjv.se/tuvaut/?f=&id=2D2-SPS;https://etjanst.sjv.se/hagenpub/rest/base/object/2D2-SPS;docs/tuva/sodermanland/objektrapporter/2D2-SPS.json
2D3-GXG;Södermanland;Katrineholm;3.46;Bete;2003-06-11;Bränntorp 6;https://etjanst.sjv.se/tuvaut/?f=&id=2D3-GXG;https://etjanst.sjv.se/hagenpub/rest/base/object/2D3-GXG;docs/tuva/sodermanland/objektrapporter/2D3-GXG.json
2D3-JBY;Södermanland;Gnesta;4.77;Bete;2004-07-02;Ekeby 1;https://etjanst.sjv.se/tuvaut/?f=&id=2D3-JBY;https://etjanst.sjv.se/hagenpub/rest/base/object/2D3-JBY;docs/tuva/sodermanland/objektrapporter/2D3-JBY.json
2D6-VAR;Södermanland;Eskilstuna;1.12;Bete;2002-08-27;Lund1;https://etjanst.sjv.se/tuvaut/?f=&id=2D6-VAR;https://etjanst.sjv.se/hagenpub/rest/base/object/2D6-VAR;docs/tuva/sodermanland/objektrapporter/2D6-VAR.json
2D8-AGH;Södermanland;Nyköping;0.65;Ej aktuell;2004-08-19;Svärtingstorp 1;https://etjanst.sjv.se/tuvaut/?f=&id=2D8-AGH;https://etjanst.sjv.se/hagenpub/rest/base/object/2D8-AGH;docs/tuva/sodermanland/objektrapporter/2D8-AGH.json
2D9-DIA;Södermanland;Eskilstuna;4.08;Bete;2003-07-04;Stora Västersjö;https://etjanst.sjv.se/tuvaut/?f=&id=2D9-DIA;https://etjanst.sjv.se/hagenpub/rest/base/object/2D9-DIA;docs/tuva/sodermanland/objektrapporter/2D9-DIA.json
2DB-ZMS;Södermanland;Katrineholm;0.39;Bete;2004-08-03;varbro 2;https://etjanst.sjv.se/tuvaut/?f=&id=2DB-ZMS;https://etjanst.sjv.se/hagenpub/rest/base/object/2DB-ZMS;docs/tuva/sodermanland/objektrapporter/2DB-ZMS.json
2DC-KLN;Södermanland;Eskilstuna;4.09;Bete;2002-08-13;Annero1;https://etjanst.sjv.se/tuvaut/?f=&id=2DC-KLN;https://etjanst.sjv.se/hagenpub/rest/base/object/2DC-KLN;docs/tuva/sodermanland/objektrapporter/2DC-KLN.json
2DC-UGJ;Södermanland;Eskilstuna;2.39;Bete;2003-07-07;Kärrtorp;https://etjanst.sjv.se/tuvaut/?f=&id=2DC-UGJ;https://etjanst.sjv.se/hagenpub/rest/base/object/2DC-UGJ;docs/tuva/sodermanland/objektrapporter/2DC-UGJ.json
2DE-FCX;Södermanland;Nyköping;6.25;Bete;2003-06-02;Valingegård 1;https://etjanst.sjv.se/tuvaut/?f=&id=2DE-FCX;https://etjanst.sjv.se/hagenpub/rest/base/object/2DE-FCX;docs/tuva/sodermanland/objektrapporter/2DE-FCX.json
2DE-UWJ;Södermanland;Nyköping;2.48;Bete;2004-05-17;valva 6;https://etjanst.sjv.se/tuvaut/?f=&id=2DE-UWJ;https://etjanst.sjv.se/hagenpub/rest/base/object/2DE-UWJ;docs/tuva/sodermanland/objektrapporter/2DE-UWJ.json
2DF-JHN;Södermanland;Strängnäs;4.64;Bete;2002-08-01;Kalkudden1;https://etjanst.sjv.se/tuvaut/?f=&id=2DF-JHN;https://etjanst.sjv.se/hagenpub/rest/base/object/2DF-JHN;docs/tuva/sodermanland/objektrapporter/2DF-JHN.json
2E0-400;Södermanland;Katrineholm;0.72;Bete;2002-06-24;Strångbäcken 2;https://etjanst.sjv.se/tuvaut/?f=&id=2E0-400;https://etjanst.sjv.se/hagenpub/rest/base/object/2E0-400;docs/tuva/sodermanland/objektrapporter/2E0-400.json
2E1-NLF;Södermanland;Katrineholm;4.81;Bete;2003-07-09;Nybo;https://etjanst.sjv.se/tuvaut/?f=&id=2E1-NLF;https://etjanst.sjv.se/hagenpub/rest/base/object/2E1-NLF;docs/tuva/sodermanland/objektrapporter/2E1-NLF.json
2E1-ULT;Södermanland;Flen;2.17;Bete;2003-07-01;Baggetorp 1;https://etjanst.sjv.se/tuvaut/?f=&id=2E1-ULT;https://etjanst.sjv.se/hagenpub/rest/base/object/2E1-ULT;docs/tuva/sodermanland/objektrapporter/2E1-ULT.json
2E2-KGS;Södermanland;Katrineholm;2.5;Bete;2004-06-14;himlinge 4;https://etjanst.sjv.se/tuvaut/?f=&id=2E2-KGS;https://etjanst.sjv.se/hagenpub/rest/base/object/2E2-KGS;docs/tuva/sodermanland/objektrapporter/2E2-KGS.json
2E3-JIF;Södermanland;Gnesta;3.58;Bete;2004-06-09;Läggesta 1;https://etjanst.sjv.se/tuvaut/?f=&id=2E3-JIF;https://etjanst.sjv.se/hagenpub/rest/base/object/2E3-JIF;docs/tuva/sodermanland/objektrapporter/2E3-JIF.json
2E4-OBE;Södermanland;Eskilstuna;1.61;Bete;2002-08-12;Gällsta5;https://etjanst.sjv.se/tuvaut/?f=&id=2E4-OBE;https://etjanst.sjv.se/hagenpub/rest/base/object/2E4-OBE;docs/tuva/sodermanland/objektrapporter/2E4-OBE.json
2E4-RXX;Södermanland;Nyköping;0.97;Bete;2002-07-08;Jonbengtstorp;https://etjanst.sjv.se/tuvaut/?f=&id=2E4-RXX;https://etjanst.sjv.se/hagenpub/rest/base/object/2E4-RXX;docs/tuva/sodermanland/objektrapporter/2E4-RXX.json
2E5-SFT;Södermanland;Katrineholm;5.79;Bete;2003-09-04;Råd;https://etjanst.sjv.se/tuvaut/?f=&id=2E5-SFT;https://etjanst.sjv.se/hagenpub/rest/base/object/2E5-SFT;docs/tuva/sodermanland/objektrapporter/2E5-SFT.json
2E7-BUN;Södermanland;Eskilstuna;1.02;Bete;2003-05-09;Stora Hult1;https://etjanst.sjv.se/tuvaut/?f=&id=2E7-BUN;https://etjanst.sjv.se/hagenpub/rest/base/object/2E7-BUN;docs/tuva/sodermanland/objektrapporter/2E7-BUN.json
2E9-CPV;Södermanland;Flen;14.27;Bete;2004-06-18;Lagmansö 1;https://etjanst.sjv.se/tuvaut/?f=&id=2E9-CPV;https://etjanst.sjv.se/hagenpub/rest/base/object/2E9-CPV;docs/tuva/sodermanland/objektrapporter/2E9-CPV.json
2EA-UNP;Södermanland;Nyköping;0.46;Bete;2003-06-12;Valsta 3;https://etjanst.sjv.se/tuvaut/?f=&id=2EA-UNP;https://etjanst.sjv.se/hagenpub/rest/base/object/2EA-UNP;docs/tuva/sodermanland/objektrapporter/2EA-UNP.json
2EB-ZJT;Södermanland;Gnesta;4.41;Bete;2004-09-17;näs extra;https://etjanst.sjv.se/tuvaut/?f=&id=2EB-ZJT;https://etjanst.sjv.se/hagenpub/rest/base/object/2EB-ZJT;docs/tuva/sodermanland/objektrapporter/2EB-ZJT.json
2EC-RWT;Södermanland;Flen;9.62;Bete;2004-07-21;harpsund 2;https://etjanst.sjv.se/tuvaut/?f=&id=2EC-RWT;https://etjanst.sjv.se/hagenpub/rest/base/object/2EC-RWT;docs/tuva/sodermanland/objektrapporter/2EC-RWT.json
2EC-ZJM;Södermanland;Nyköping;2.57;Bete;2002-07-09;Stora Marsäng;https://etjanst.sjv.se/tuvaut/?f=&id=2EC-ZJM;https://etjanst.sjv.se/hagenpub/rest/base/object/2EC-ZJM;docs/tuva/sodermanland/objektrapporter/2EC-ZJM.json
2EF-PMQ;Södermanland;Flen;0.57;Ej aktuell;2004-08-20;Skälby 1;https://etjanst.sjv.se/tuvaut/?f=&id=2EF-PMQ;https://etjanst.sjv.se/hagenpub/rest/base/object/2EF-PMQ;docs/tuva/sodermanland/objektrapporter/2EF-PMQ.json
2EF-UTE;Södermanland;Nyköping;1.4;Bete;2003-06-06;Berga 3;https://etjanst.sjv.se/tuvaut/?f=&id=2EF-UTE;https://etjanst.sjv.se/hagenpub/rest/base/object/2EF-UTE;docs/tuva/sodermanland/objektrapporter/2EF-UTE.json
2F0-RCP;Södermanland;Flen;16.5;Bete;2004-06-18;Berga;https://etjanst.sjv.se/tuvaut/?f=&id=2F0-RCP;https://etjanst.sjv.se/hagenpub/rest/base/object/2F0-RCP;docs/tuva/sodermanland/objektrapporter/2F0-RCP.json
2F1-DIA;Södermanland;Nyköping;3.45;Bete;2004-05-11;gråsta 1;https://etjanst.sjv.se/tuvaut/?f=&id=2F1-DIA;https://etjanst.sjv.se/hagenpub/rest/base/object/2F1-DIA;docs/tuva/sodermanland/objektrapporter/2F1-DIA.json
2F1-EOL;Södermanland;Trosa;0.2;Bete;2004-05-18;Överstene 1;https://etjanst.sjv.se/tuvaut/?f=&id=2F1-EOL;https://etjanst.sjv.se/hagenpub/rest/base/object/2F1-EOL;docs/tuva/sodermanland/objektrapporter/2F1-EOL.json
2F1-XQJ;Södermanland;Katrineholm;1.59;Bete;2002-08-12;Gropen;https://etjanst.sjv.se/tuvaut/?f=&id=2F1-XQJ;https://etjanst.sjv.se/hagenpub/rest/base/object/2F1-XQJ;docs/tuva/sodermanland/objektrapporter/2F1-XQJ.json
2F2-BDQ;Södermanland;Katrineholm;6.6;Bete;2002-07-10;Strångholm 1;https://etjanst.sjv.se/tuvaut/?f=&id=2F2-BDQ;https://etjanst.sjv.se/hagenpub/rest/base/object/2F2-BDQ;docs/tuva/sodermanland/objektrapporter/2F2-BDQ.json
2F2-YMN;Södermanland;Nyköping;3.43;Bete;2003-06-13;Horn 7;https://etjanst.sjv.se/tuvaut/?f=&id=2F2-YMN;https://etjanst.sjv.se/hagenpub/rest/base/object/2F2-YMN;docs/tuva/sodermanland/objektrapporter/2F2-YMN.json
2F3-DPV;Södermanland;Katrineholm;0.73;Bete;2002-08-13;Ödesdal 3;https://etjanst.sjv.se/tuvaut/?f=&id=2F3-DPV;https://etjanst.sjv.se/hagenpub/rest/base/object/2F3-DPV;docs/tuva/sodermanland/objektrapporter/2F3-DPV.json
2F3-NTZ;Södermanland;Eskilstuna;1.06;Bete;2003-08-20;Storudden2;https://etjanst.sjv.se/tuvaut/?f=&id=2F3-NTZ;https://etjanst.sjv.se/hagenpub/rest/base/object/2F3-NTZ;docs/tuva/sodermanland/objektrapporter/2F3-NTZ.json
2F3-VCB;Södermanland;Gnesta;5.32;Bete;2004-06-14;Kvegerö 1;https://etjanst.sjv.se/tuvaut/?f=&id=2F3-VCB;https://etjanst.sjv.se/hagenpub/rest/base/object/2F3-VCB;docs/tuva/sodermanland/objektrapporter/2F3-VCB.json
2F4-MJK;Södermanland;Flen;12.64;Bete;2004-08-10;flenmo 2;https://etjanst.sjv.se/tuvaut/?f=&id=2F4-MJK;https://etjanst.sjv.se/hagenpub/rest/base/object/2F4-MJK;docs/tuva/sodermanland/objektrapporter/2F4-MJK.json
2F5-KMO;Södermanland;Eskilstuna;1.04;Bete;2003-07-25;Tandla gård3;https://etjanst.sjv.se/tuvaut/?f=&id=2F5-KMO;https://etjanst.sjv.se/hagenpub/rest/base/object/2F5-KMO;docs/tuva/sodermanland/objektrapporter/2F5-KMO.json
2F7-980;Södermanland;Strängnäs;0.88;Bete;2002-06-17;Åkerby2;https://etjanst.sjv.se/tuvaut/?f=&id=2F7-980;https://etjanst.sjv.se/hagenpub/rest/base/object/2F7-980;docs/tuva/sodermanland/objektrapporter/2F7-980.json
2F7-SEH;Södermanland;Gnesta;0.78;Bete;2003-09-16;Yttervalla 1;https://etjanst.sjv.se/tuvaut/?f=&id=2F7-SEH;https://etjanst.sjv.se/hagenpub/rest/base/object/2F7-SEH;docs/tuva/sodermanland/objektrapporter/2F7-SEH.json
2F8-TYV;Södermanland;Eskilstuna;4.03;Bete;2002-09-23;Lindholm3;https://etjanst.sjv.se/tuvaut/?f=&id=2F8-TYV;https://etjanst.sjv.se/hagenpub/rest/base/object/2F8-TYV;docs/tuva/sodermanland/objektrapporter/2F8-TYV.json
2F9-ACD;Södermanland;Flen;0.29;Bete;2004-08-20;Gnesund 1;https://etjanst.sjv.se/tuvaut/?f=&id=2F9-ACD;https://etjanst.sjv.se/hagenpub/rest/base/object/2F9-ACD;docs/tuva/sodermanland/objektrapporter/2F9-ACD.json
